yaml,target_dx,base,modelname,pos_dataset,neg_dataset,data_lim,val_lim,num_trials,max_time,hps_epochs,epochs,batch_size
2001,vf,v04,resnet18_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2004,vf,v04,transformer_v02,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2007,vf,v04,fedformer_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2010,vf,v04,autoformer_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2015,vf,v04,film_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2018,vf,v04,informer_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2021,vf,v04,luna_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2024,vf,v04,nystrom_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2027,vf,v04,performer_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2030,vf,v04,lintrans_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2033,vf,v04,resnet34_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2036,vf,v04,resnet50_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2039,vf,v04,effnetb0_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2042,vf,v04,lstm_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2045,vf,v04,emblstm_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2048,vf,v04,gru_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2051,vf,v04,embgru_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2054,vf,v04,s4_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2057,vf,v04,mega_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2301,vf,v04,fedformer_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2302,vf,v04,autoformer_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2303,vf,v04,film_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2304,vf,v04,informer_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2305,vf,v04,luna_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2306,vf,v04,nystrom_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2307,vf,v04,performer_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2308,vf,v04,lintrans_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2309,vf,v04,resnet34_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2310,vf,v04,resnet50_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2311,vf,v04,effnetb0_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2312,vf,v04,lstm_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2313,vf,v04,lintrans_v01,cardially,PTBXL-NORM,,,10000,43200,250,500,256
2314,vf,v04,gru_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2315,vf,v04,s4_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2316,vf,v04,mega_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2317,vf,v04,emblstm_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2318,vf,v04,embgru_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2319,vf,v04,resnet18_v01,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256
2320,vf,v04,transformer_v02,syn_vf-01,syn_ecg-02,10000,1000,10000,43200,250,500,256