exp_id,base_yaml,data_lim,model,real_data,hps_result
2800,2033,150p,resnet34,TRUE,
2801,2033,125p,resnet34,TRUE,
2802,2033,100p,resnet34,TRUE,
2803,2033,75p,resnet34,TRUE,
2804,2033,50p,resnet34,TRUE,
2805,2033,25p,resnet34,TRUE,
2806,2033,10p,resnet34,TRUE,
2807,2033,8p,resnet34,TRUE,
2808,2033,4p,resnet34,TRUE,
2809,2033,2p,resnet34,TRUE,
2810,2001,150p,resnet18,TRUE,
2811,2001,125p,resnet18,TRUE,
2812,2001,100p,resnet18,TRUE,
2813,2001,75p,resnet18,TRUE,
2814,2001,50p,resnet18,TRUE,
2815,2001,25p,resnet18,TRUE,
2816,2001,10p,resnet18,TRUE,
2817,2001,8p,resnet18,TRUE,
2818,2001,4p,resnet18,TRUE,
2819,2001,2p,resnet18,TRUE,
2820,2039,150p,effnet-b0,TRUE,
2821,2039,125p,effnet-b0,TRUE,
2822,2039,100p,effnet-b0,TRUE,
2823,2039,75p,effnet-b0,TRUE,
2824,2039,50p,effnet-b0,TRUE,
2825,2039,25p,effnet-b0,TRUE,
2826,2039,10p,effnet-b0,TRUE,
2827,2039,8p,effnet-b0,TRUE,
2828,2039,4p,effnet-b0,TRUE,
2829,2039,2p,effnet-b0,TRUE,
2830,2057,150p,mega,TRUE,
2831,2057,125p,mega,TRUE,
2832,2057,100p,mega,TRUE,
2833,2057,75p,mega,TRUE,
2834,2057,50p,mega,TRUE,
2835,2057,25p,mega,TRUE,
2836,2057,10p,mega,TRUE,
2837,2057,8p,mega,TRUE,
2838,2057,4p,mega,TRUE,
2839,2057,2p,mega,TRUE,
2840,2054,150p,s4,TRUE,
2841,2054,125p,s4,TRUE,
2842,2054,100p,s4,TRUE,
2843,2054,75p,s4,TRUE,
2844,2054,50p,s4,TRUE,
2845,2054,25p,s4,TRUE,
2846,2054,10p,s4,TRUE,
2847,2054,8p,s4,TRUE,
2848,2054,4p,s4,TRUE,
2849,2054,2p,s4,TRUE,
2850,2036,150p,resnet50,TRUE,
2851,2036,125p,resnet50,TRUE,
2852,2036,100p,resnet50,TRUE,
2853,2036,75p,resnet50,TRUE,
2854,2036,50p,resnet50,TRUE,
2855,2036,25p,resnet50,TRUE,
2856,2036,10p,resnet50,TRUE,
2857,2036,8p,resnet50,TRUE,
2858,2036,4p,resnet50,TRUE,
2859,2036,2p,resnet50,TRUE,